partial data for cat2.dat, single appearance or disappeared
     ID     q		e     omega	 Omega     i
C/1939 B1   0.716496  0.995103 169.0243  289.6136   63.5238
C/1939 H1   0.528266  0.998477  89.2397  312.2772  138.1212
C/1939 V1   0.945209  0.997192 126.7769  197.1118   92.9520
C/1940 O1   1.082228  0.980843 235.7368  135.0616   54.6906
C/1940 R2   0.367751  1.000485 199.5690  296.5905   49.8942
C/1940 S1   1.061768  1.001459 329.6782  128.0685  133.1141
C/1941 B1   0.941864  0.981221 132.7319  329.7897   26.2756
C/1941 B2   0.790033  0.999102 268.6997   43.1069  168.2039
C/1941 K1   0.874789  1.000243  85.3219  257.5598   94.5165
C/1942 C1   1.445303  1.000893 223.4157  340.9347   79.4520
C/1942 C2   4.113405  1.003183 163.6206  281.0393  172.5144
D/1942 EA   1.287079  0.933639 335.2229  172.2906   37.9961
C/1942 X1   1.353647  0.992196  39.8432  100.7990   19.7127
C/1943 R1   0.758300  1.0       36.4129   83.3863  161.3186
C/1943 W1   0.87430   1.0       33.078    58.631   136.181
C/1944 H1   2.410856  0.993500 238.9426   29.0848   17.2882
C/1944 K2   2.225933  1.002085 336.9741  203.5003   95.0056
C/1945 L1   0.998063  1.0      280.1236  255.0453  156.5080
C/1945 W1   0.19435   1.0      216.712   326.204    49.480
C/1945 X1   0.007516  1.0       72.0619  351.2006  141.8734
C/1946 C1   1.724129  1.001169  54.3280  129.6650   72.8427
C/1946 K1   1.018252  1.0       22.2328  301.9765  169.5619
C/1946 P1   1.136113  1.000776 320.4130  238.3356   56.9647
C/1946 U1   2.407663  1.000947 348.6250   35.5588  108.1742
C/1947 F1   0.559799  0.997427 303.7545  353.9098   39.3015
C/1947 F2   0.961836  1.0      182.1286  323.0708  129.1558
C/1947 K1   1.402863  1.0      357.3889  233.0629  111.4094
C/1947 O1   2.827968  1.001052   9.3752  311.7961   97.3313
C/1947 S1   0.748125  1.000363 350.2146  271.4398  140.5681
C/1947 V1   0.75309   1.0      221.236   312.659   106.291
C/1947 X1-A 0.110032  0.999548 196.1521  337.3040  138.5419
C/1947 X1-B 0.110023  0.999629 196.1504  337.3059  138.5332
C/1947 Y1   1.499557  1.001085  61.9241  199.3010   77.5331
C/1948 E1   2.107056  1.000787  66.8980  247.6525   92.9194
C/1948 L1   0.207628  0.999875 317.0555  203.8209   23.1489
C/1948 N1   2.517207  0.999352 229.9503  120.6032  130.2675
C/1948 R1   4.708380  1.0      191.8392  140.4113   53.2325
C/1948 T1   3.261102  1.002278  73.4648  122.1206  155.0779
C/1948 V1   0.135421  0.999935 107.2521  211.0395   23.1170
C/1948 W1   1.273428  0.997499 274.2092   67.6685   87.6054
C/1949 K1   2.553231  1.000713  40.0905  222.3271  131.3511
C/1949 N1   2.058177  0.998644  89.5300  309.7099  105.7686
C/1950 K1   2.572335  1.001231 192.4685   38.8905  144.1552
C/1951 C1   0.719063  1.0       68.6020  311.2198   87.8968
C/1951 P1   0.740427  0.999739 269.6206   76.8942  152.5337
D/1952 B1   1.664094  0.515277 343.0130  128.4717   16.3497
C/1952 H1   1.282696  0.982816 144.8846  122.3556  112.0282
C/1952 M1   1.201925  0.999739  96.5825  188.6438   45.5521
C/1952 Q1   1.664977  0.995910 191.6259  221.3917   59.1154
C/1952 W1   0.777729  1.000343 253.8218  343.5816   97.1837
C/1953 G1   1.022132  0.997391  85.7400  275.8856   93.8573
C/1953 T1   0.970116  1.000564 194.3828    3.0329   53.2289
C/1953 X1   0.072347  1.0       94.0779  115.2328   13.5729
C/1954 M1   2.060608  1.0        1.4178  292.7314  136.6445
C/1954 M2   0.746377  1.000174 254.7275   75.5684   88.5406
C/1954 O1   0.677461  1.000286 357.2601  122.8248  116.1542
C/1954 O2   3.869934  1.000509 144.6706  265.3399  100.3891
C/1954 Y1   4.076871  1.004667  57.2975   72.8723   79.5999
C/1955 G1   4.495680  1.002791  73.7500  321.3347  123.9327
C/1955 L1   0.534419  0.989361  32.5143   48.9416   86.5016
C/1955 N1   1.427450  0.994167  13.2183  303.4659   50.0329
C/1955 O1   0.884616  1.000947 348.1929  339.4213  107.5221
C/1956 E1   0.842240  1.0       81.0015  226.7159  147.4519
C/1956 F1-A 4.447262  1.002745  13.2594  233.6563   33.2017
C/1956 R1   0.316035  1.000168 308.7803  215.8558  119.9443
C/1957 P1   0.354933  0.999365  40.3197   68.3242   93.9411
C/1957 U1   0.539130  1.0      277.6138  210.8753  156.7154
C/1958 D1   1.322689  0.999943  16.4658  151.1944   15.7879
C/1958 R1   1.628198  0.999866 100.7361  323.7788   61.2576
C/1959 O1   1.250534  1.002679 186.5069  105.7350   12.8322
C/1959 Q1   1.150354  1.000919 124.7085  159.9227   48.2566
C/1959 Q2   0.165507  1.0      300.6059  225.7683  107.7622
C/1959 X1   1.253464  0.999748  84.6925  100.6205   19.6339
C/1959 Y1   0.504353  1.000145 306.6343  252.6387  159.6002
C/1960 B1   1.170751  1.0      273.2478   83.7794   69.5010
C/1960 M1   4.266927  1.000884  46.4607  307.2619  125.4695
D/1960 S1   3.956877  0.366820  14.4176   23.6008    6.6598
C/1960 Y1   1.061612  0.989900 136.6139  177.2778  150.9552
C/1961 O1   0.040199  0.999962 270.7008  298.9545   24.2116
C/1961 R1   2.133412  0.989569 233.5552  155.4385  153.2780
C/1961 T1   0.681129  0.991812 126.5749  247.3552  155.7107
C/1962 C1   0.031397  1.000003  11.4731  304.6776   65.0142
C/1962 H1   0.653093  1.0       72.1412   79.8183   72.8735
C/1963 A1   0.632139  0.993377 336.3018   53.2187  160.6487
C/1963 F1   1.537101  0.998060 146.6221   43.4648   86.2194
C/1963 R1   0.005065  0.999946  86.1601    7.9393  144.5821
C/1963 W1   2.0874    1.0      343.19    100.24      4.67
C/1964 L1   0.500363  0.995933  58.4245  309.8701  161.8323
C/1964 N1   0.821752  0.984643 290.7618  269.9493  171.9200
C/1964 P1   1.259275  0.996513  20.6856  280.4451   67.9689
C/1965 S1-A 0.007786  0.999915  69.0486  346.9947  141.8642
C/1965 S1-B 0.007778  0.999925  69.0343  346.9811  141.8610
C/1965 S2   1.293900  1.0      150.5239  175.6235   65.0092
C/1966 P1   2.384748  0.999376 154.4836  156.0516   40.2648
C/1966 P2   2.018766  0.998183 136.1701  167.6893   28.7058
C/1966 R1   0.88188   1.0       50.047   107.660    48.279
C/1966 T1   0.419225  1.000391  79.7840   75.7078    9.0798
C/1967 C1   0.457263  1.0      144.3132  200.5401  106.4756
C/1967 C2   1.327158  1.0      173.2610  306.8449   99.1058
C/1967 M1   0.178251  1.0       78.9440   32.2934   56.7083
C/1967 Y1   1.696581  0.999152  70.8641  255.3211  129.3153
C/1968 H1   0.680374  0.995583  50.4500  233.1050  102.1658
C/1968 L1   1.234003  1.0      353.9761  254.7165   61.7687
C/1968 N1   1.160434  1.000665  88.7151  106.7471  143.2384
C/1968 Q1   1.771085  1.0       26.8644  319.3954   93.1695
C/1968 Q2   1.098991  1.0      282.8072  253.2939  127.9128
C/1968 U1   2.60907   1.0      101.688   209.197   135.165
C/1968 Y1   3.316033  0.995301  82.5798   16.1100   45.2291
C/1969 O1-A 1.719085  0.999125 123.4686  301.7583   86.3128
C/1969 P1   0.773917  1.0      299.0175  192.3980    8.9257
C/1969 T1   0.472638  0.999920 267.8339  101.6599   75.8178
C/1969 Y1   0.537606  0.996193 354.1460  224.6574   90.0394
C/1970 B1   0.065742  1.0      266.6535   30.6057  100.1760
C/1970 K1   0.008879  1.0       61.2903  337.0147  139.0714
C/1970 N1   1.112539  1.000048  96.5835   21.7014  126.7199
C/1970 U1   0.405499  1.0      318.5220  293.6802   60.7849
C/1971 E1   1.233292  1.000775 152.3628  104.0760  109.6825
C/1972 E1   0.927214  0.998126 257.6978  160.2988  123.6930
C/1972 F1   3.276561  0.996943 128.7315   24.7484  175.6160
C/1972 L1   4.275707  1.006288  56.6577  225.4863   79.3681
C/1972 U1   2.147032  1.001018 334.3058   43.1885  141.8554
C/1972 X1   4.860748  0.999910 267.2042  314.8839  113.0902
C/1973 A1   2.511124  1.000501 346.2351  175.8772  138.6283
C/1973 D1   1.382019  0.998723  74.8598  164.8177  121.5982
C/1973 E1   0.142425  1.000008  37.7976  258.4895   14.3043
C/1973 H1   2.384337  0.972977 123.4776   57.8409   48.3290
C/1973 N1   4.812056  1.000059  72.5430  279.2376  137.4032
C/1973 W1   3.842070  1.000643 221.2562  244.6006  108.0665
C/1974 C1   0.503191  0.999697 333.1341  143.7346   61.2842
C/1974 F1   3.011456  0.999602 261.3664   12.3684   50.6485
C/1974 O1   1.372951  0.979579 176.7744  165.7415  173.1585
C/1974 V1   6.018928  1.003948 151.7597  226.1041   60.8537
C/1974 V2   0.864646  1.0      324.9673   51.3485  134.8269
C/1975 E1   1.216939  1.001410 264.1296  157.9092   55.2438
C/1975 N1   0.425561  1.000097 116.9699  296.3521   80.7812
C/1975 T1   1.603933  0.997450 246.2411  278.6784   91.6076
C/1975 T2   0.838047  0.985653 152.0192  216.8053  118.2332
C/1975 V1-A 0.196626  0.999971 358.4270  118.9240   43.0664
C/1975 V2   0.218719  1.000001 358.0904  271.3132   70.6266
C/1975 X1   0.863968  1.001214 215.4661  281.4943   93.9552
C/1976 D1   0.847810  0.993811 313.0066  160.7896   46.8340
C/1976 D2   6.880674  1.002099 193.4266   22.7870  112.0259
C/1976 E1   0.67832   1.0      221.767    70.203   147.778
C/1976 J1   1.568877  0.999695 193.2643   81.4110   38.8063
C/1976 U1   5.857415  1.003931 118.7899  286.0372   86.6321
D/1977 C1   2.849393  0.259243  26.5570   80.7669    3.2011
C/1977 D1   5.715207  1.003506 146.2750  338.1707   64.5266
C/1977 H1   1.117568  1.0      249.3565   20.1385   43.1952
C/1977 R1   0.990575  0.999547 163.4866  182.5226   48.7118
C/1977 V1   3.603039  0.999633 318.1658    5.2850  168.5495
C/1978 A1   5.606362  1.002964 343.2844  211.6236  116.9300
C/1978 C1   0.436585  1.0       48.7048  260.4980   51.0863
D/1978 C2   1.438494  0.580362 147.6775  300.7566    7.0388
C/1978 G2   6.282837  1.002136 229.5094   72.2160  153.1829
C/1978 H1   1.136524  1.000850 231.4019  349.3449   43.7614
D/1978 R1   1.101411  0.665248 240.4793  132.2420    5.9464
C/1978 R3   1.771588  1.000416 224.7540  290.6780  130.6364
C/1978 T1   0.369901  0.998381 207.7603   41.7733   67.8302
C/1978 T3   0.431870  1.0      240.4503  358.4191  138.2649
C/1979 M1   0.413217  1.000059  47.6513  164.2164  136.2293
C/1979 M3   4.686916  1.001060  10.1010  293.1365   92.1782
C/1979 O1   2.2828    1.0       61.14    146.89      5.71
C/1979 Q1   0.00480   1.0       67.668   344.997   141.456
C/1979 S1   1.432081  0.973197 112.5727  297.6307   67.0840
C/1979 Y1   0.545164  0.987598 257.5849  103.2190  148.6018
C/1980 E1   3.363949  1.057322 135.0850  114.5563    1.6617
C/1980 L1   2.583897  1.000164 334.9641  279.5228   73.1503
C/1980 O1   0.522744  1.0      337.7695  160.6356   49.0681
C/1980 R1   2.112441  1.001723 297.1927  232.7890  128.7068
C/1980 V1   1.519550  0.994657  87.9675   25.4367  100.9862
C/1980 Y1   0.259823  0.999725 358.2941  115.3515  138.5850
C/1980 Y2   1.657271  0.998974 105.6008  331.9980   82.6479
C/1981 B1   0.00792   1.0       65.428   342.107   140.676
C/1981 G1   4.742518  1.000659 310.2409  176.7053  115.3105
C/1981 H1   2.458143  0.999021 189.8443   24.2644  160.6640
C/1981 M1   2.333601  0.999395 181.6147  143.9696  107.1467
C/1981 O1   0.00612   1.0       68.428   345.957   141.706
C/1981 V1   0.00450   1.0       77.680   357.569   143.847
C/1982 M1   0.647811  0.999401  33.8228  326.2626   84.4952
P/1983 C1   1.944792  0.689395 168.9811  346.3190    3.7982
C/1983 H1   0.991341  0.990115 192.8494   49.1023   73.2534
C/1983 J1   0.471081  1.000020  82.1727   83.0416   96.6225
C/1983 J2   1.416483  1.0      227.0805  119.6342  152.1911
P/1983 J3   2.608864  0.588166  19.4574  202.5850    4.3118
P/1983 M1   1.696830  0.695575 356.8912  357.8585   46.1864
C/1983 N1   2.417999  0.999420 265.5810  171.7915  138.8364
C/1983 O1   3.317899  1.001968 186.2136  209.5787  134.6986
C/1983 O2   2.254776  1.000196 333.9786  201.2574  120.7372
C/1983 R1   3.344888  1.000152 176.0386  164.6840  137.5972
C/1983 S2   0.00753   1.0       78.581   358.679   143.987
P/1983 V1   1.282459  0.833912  47.1147    1.4991   95.7312
D/1984 A1   1.357455  0.952214 219.1609  356.8581   51.8009
D/1984 H1   1.951090  0.482617 337.9901  249.3181    2.9551
C/1984 K1   2.696508  1.000720 235.4677   49.6864  116.6650
C/1984 N1   0.291284  0.999846 353.1286  171.5774  164.1533
C/1984 O2   0.01541   1.0       56.666   330.436   136.386
C/1984 S1   0.856856  1.0      128.0082   11.7104  145.6146
C/1984 U1   5.489159  0.995209 182.8308  238.3009  179.2123
C/1984 U2   1.214510  0.970905 229.2138  223.4750   13.8812
C/1984 V1   0.917954  0.999255  82.7372  331.1672   65.7154
D/1984 W1   1.319698  0.665667 317.5846   55.5031   21.5677
C/1984 W2   4.000234  0.999579 255.2662  250.2083   89.3273
C/1985 K1   0.106252  1.0      274.5004  195.4353   16.2766
C/1985 R1   0.694583  0.999828  87.0320  358.3960   79.9294
C/1985 T1   1.317140  0.983297  53.0001   53.0127  139.0692
P/1986 A1   1.794022  0.727700  14.8779   97.2760    6.4070
C/1986 E1   3.593864  0.946780 123.5706  294.8423  159.8090
C/1986 N1   2.642107  0.999534 157.7548  134.6178  114.9293
C/1986 P1   1.199651  1.000312 238.3072  111.6661  147.1191
C/1986 V1   1.721155  0.999909  70.2329   74.8046  160.5801
P/1986 W1   1.457305  0.592020  71.2782  283.7738    1.5285
C/1987 A1   0.921485  1.000383  95.2451   17.1167   96.5830
C/1987 B1   0.869579  0.995742 200.4017  176.0121  172.2300
C/1987 B2   0.393020  0.995125 195.2764   97.7060   40.8543
C/1987 F1   3.624588  1.001008 329.0892  194.4877  124.0800
C/1987 H1   5.457548  1.002839  16.9960  268.3257  132.4743
C/1987 P1   0.868956  0.994736  73.8994  268.0930   34.0882
C/1987 Q1   0.602603  1.000437 143.8336  298.5696  114.8751
P/1987 Q3   2.571261  0.566684 216.2581  143.7339    4.6868
C/1987 T1   0.515185  1.0       13.1872  143.7254   62.5345
C/1987 T2   0.00538   1.0       80.591     1.159   144.256
P/1987 U1   3.053021  0.321955 210.3594  214.5787    4.3624
C/1987 U3   0.841288  0.998872  17.4197  261.3415   97.1249
C/1987 U4   0.00627   1.0       82.632     3.660   144.466
C/1987 W1   0.199510  1.0      329.2939  226.5275   41.6193
C/1987 W2   1.679526  1.000202 233.6271  250.7538  117.7834
C/1987 W3   3.332819  1.004767 194.7364  198.3456   76.7159
C/1988 A1   0.841333  0.996565  57.3876   31.5154   73.3224
C/1988 B1   5.030826  1.002519 124.2192  325.1598   80.5858
C/1988 C1   1.930534  1.0      346.8345  147.5202   93.1570
C/1988 F1   1.174176  0.997816 326.5149  288.7651   62.8074
C/1988 J1   1.174466  0.997830 326.5150  288.7649   62.8066
C/1988 L1   2.474368  1.000567 232.1427  115.2561   97.6929
C/1988 M1   0.00516   1.0       85.882     7.660   144.706
C/1988 P1   0.164558  1.0      349.0366  167.7281   40.1990
C/1988 Q1   0.00591   1.0       82.252     3.200   144.436
C/1988 T1   0.00513   1.0       88.083    10.351   144.786
C/1988 U1   0.00579   1.0       86.142     7.981   144.716
P/1988 V1   2.517308  0.501319 176.0923  180.5414   11.6674
C/1988 W1   0.00590   1.0       91.084    14.021   144.796
C/1988 Y1   0.427818  1.0       88.1228  315.5225   71.0077
C/1989 A1   1.894583  0.998717 351.5590  157.0890   52.4104
D/1989 A3   0.420271  0.977708 194.7353   28.4357   83.0672
C/1989 A5   2.639507  0.995180  19.1090  137.1386   96.5548
C/1989 A6   2.207834  1.0       18.8355   74.3147   25.5050
C/1989 L1   0.00557   1.0       84.722     6.240   144.636
C/1989 N3   0.00462   1.0       91.804    14.902   144.786
C/1989 Q1   0.642361  1.000020 150.5640  275.5108   90.1465
C/1989 R1   1.324502  1.0      154.9103  128.6096  128.1341
C/1989 S1   0.00476   1.0       87.499     9.636   144.768
C/1989 T1   1.047322  0.990657  68.1263    8.5186   46.0369
P/1989 U1   1.929882  0.525388 200.3762  203.0723    7.4262
C/1989 W1   0.300688  1.000082 205.2592  345.9153   88.3873
C/1989 X1   0.349775  1.000225  61.5763   75.9255   58.9564
C/1989 Y1   1.569172  1.000308 137.8329  280.0093   59.3660
C/1989 Y2   1.975817  1.0      191.7410  293.8975  160.3369
C/1990 E1   1.068339  1.0      100.6214  348.4448   48.1425
C/1990 K1   0.938705  1.000417 242.6656  139.3647  131.5829
C/1990 M1   2.682238  1.001198  18.1719  233.2060  132.7742
C/1990 N1   1.092424  0.995316 180.9189  330.7378  143.7839
P/1990 R1   2.082992  0.405710 171.0214  218.8550    7.0702
P/1990 R2   2.043331  0.392228   2.5960   15.3223   14.8915
P/1990 S1   2.998114  0.288340 226.0345  138.0064    9.4310
P/1990 UL3  1.844051  0.582306 140.0786  235.9958    4.6372
P/1990 V1   1.523994  0.771786 310.6179   52.0452   24.3320
C/1991 A2   1.434161  0.990507 337.6388  115.5226   70.9783
C/1991 B1   2.265035  0.993508  74.3650  145.1295   77.2881
P/1991 C1   2.810419  0.249844 181.7749  303.7637    5.0170
C/1991 C3   4.777087  1.001769 320.8865  161.7096  113.4304
C/1991 F2   1.517721  1.000431 271.1592   11.8349   95.4565
P/1991 L3   0.982524  0.928807  41.4686  329.4305   19.1904
C/1991 L4   4.849913  1.000083  30.7913  253.6535   49.2952
C/1991 Q1   3.193954  0.994581 257.2310  120.4638   90.5062
C/1991 R1   6.986340  0.999374 149.2398  150.1176  104.5086
P/1991 R2   1.543100  0.508752  87.1525  153.4238    9.9673
P/1991 S1   2.125343  0.402350 224.4274   89.9816    7.3002
P/1991 T1   1.984899  0.529804   6.0433   29.6656   11.7653
C/1991 T2   0.836250  0.999862 145.2402   49.0506  113.4979
P/1991 V1   1.132346  0.705642 333.1274   37.9330   16.8548
P/1991 V2   1.630092  0.542754  91.9534  312.9564   10.2799
C/1991 X2   0.198771  1.000175 306.9902  288.7848   95.5664
C/1991 Y1   0.643969  1.000058 197.8730  254.9074   50.0287
C/1992 A1   3.016578  1.004149 239.8431  288.9032   39.2638
C/1992 B1   0.500157  1.0       15.3368  275.3503   20.2378
C/1992 F1   1.261498  0.995966  65.4746  300.5082   79.2924
P/1992 G2   2.710664  0.290688  22.3971  213.3969    6.0537
P/1992 G3   2.636951  0.389315  43.5926  145.4255   29.8014
C/1992 J1   3.007006  0.999961  83.4011  203.3240  124.3187
C/1992 J2   0.592305  1.0      299.7170  159.9981  158.5644
C/1992 N1   0.819198  1.0      162.6392  235.1287   57.6407
P/1992 Q1   1.600979  0.670726  47.8361  343.7358   18.0579
C/1992 Q2   2.038458  0.965365 268.8535  194.6672  106.8481
C/1992 U1   2.313654  0.999411  54.8646   55.2994   65.9859
C/1992 W1   0.664134  0.991721 310.0665  138.3753  115.1232
C/1993 A1   1.937531  1.001779 130.6569  144.7224  124.8778
C/1993 F1   5.900474  1.005773  61.9940   77.5156   53.9401
D/1993 F2-A 5.380622  0.216216 354.8843  220.5378    6.0036
D/1993 F2-B 5.380638  0.215595 354.8952  220.5653    5.9899
D/1993 F2-C 5.380457  0.215151 354.8967  220.5816    5.9824
D/1993 F2-D 5.380393  0.214711 354.9043  220.6003    5.9732
D/1993 F2-E 5.380354  0.214403 354.9089  220.6139    5.9670
D/1993 F2-F 5.380402  0.213569 354.9231  220.6518    5.9488
D/1993 F2-G 5.380144  0.212885 354.9305  220.6801    5.9358
D/1993 F2-H 5.380011  0.211776 354.9417  220.7284    5.9132
D/1993 F2-K 5.379814  0.210430 354.9632  220.7891    5.8853
D/1993 F2-L 5.379677  0.209366 354.9786  220.8376    5.8635
D/1993 F2-N 5.379590  0.208267 354.9903  220.8863    5.8408
D/1993 F2-P 5.379661  0.207881 355.0023  220.9049    5.8317
D/1993 F2-Q 5.379401  0.207429 355.0085  220.9268    5.8232
D/1993 F2-R 5.379278  0.206585 355.0143  220.9664    5.8062
D/1993 F2-S 5.379169  0.205746 355.0294  221.0068    5.7888
D/1993 F2-T 5.379329  0.205501 355.0263  221.0158    5.7832
D/1993 F2-U 5.379195  0.205180 355.0363  221.0340    5.7766
D/1993 F2-V 5.379081  0.204622 355.0469  221.0608    5.7652
D/1993 F2-W 5.378955  0.204278 355.0483  221.0772    5.7588
C/1993 K1   4.849268  1.000216 232.4449   30.3286   67.7670
P/1993 K2   3.090221  0.308863 163.7352   92.0349    9.8831
C/1993 Q1   0.967275  1.000278 261.0330  193.7890  105.0260
P/1993 W1   4.249824  0.260598  30.0150  100.6625   16.4654
P/1993 X1   2.745216  0.277310 348.3165   93.7110    2.3673
C/1993 Y1   0.867641  0.993512 353.4698  166.3593   51.5868
P/1994 A1   1.367310  0.638830 214.4874  245.9368    4.1845
C/1994 E1   1.751290  0.968171  98.9223    5.1730  145.1425
C/1994 E2   1.158820  0.997314  57.4964  166.5685  131.2547
C/1994 G1-A 1.359230  0.999123  61.6301  306.8298  132.8728
C/1994 J2   1.947758  0.996434 192.1223   51.1285  135.9611
P/1994 J3   2.944343  0.505554 192.1299   92.9426   24.8043
C/1994 N1   1.140150  1.000057 123.0730  158.9121   94.3789
P/1994 N2   2.484594  0.671286 312.1885   36.0124   17.6482
P/1994 P1-A 0.752548  0.750145 149.2623  246.1772   12.7865
P/1994 P1-B 0.752556  0.750108 149.2590  246.1734   12.7861
P/1994 P1-D 0.752558  0.750229 149.2512  246.1830   12.7885
C/1994 T1   1.845402  0.999517 142.7849  249.9436  101.7379
P/1994 X1   1.276890  0.815684 171.1487  218.0082   29.0741
P/1995 A1   4.082443  0.308187 295.9293  116.0167   19.8751
C/1995 O1   0.913959  0.995075 130.5947  282.4716   89.4245
C/1995 Q1   0.436390  0.998025 331.1617  178.0542  147.3942
C/1995 Q2   1.889153  0.966518 314.0000  300.7506  168.0075
C/1995 Y1   1.053613  1.0       46.4403  195.7490   54.4920

