partial data for cat2.dat, single appearance or disappeared
     ID     q		e     omega	 Omega     i
C/1771 G1   0.901835  1.0       76.2251   30.9963   11.2891
C/1773 T1   1.12689   1.0      314.117   124.236    61.220
C/1774 P1   1.42858   1.0      136.533   183.974    82.978
C/1779 A1   0.713178  1.0       62.1743   28.1368   32.4406
C/1780 U1   0.51528   1.0      255.165   145.082   107.917
C/1780 U2   0.09926   1.0      237.827   127.231   126.177
C/1781 M1   0.77586   1.0      156.209    86.057    81.724
C/1781 T1   0.96100   1.0       61.392    80.482   152.801
D/1783 W1   1.459289  0.552456 354.6510   58.6795   45.1277
C/1783 X1   0.70786   1.0      336.115    59.856   128.859
C/1785 A1   1.14340   1.0      205.632   267.214    70.238
C/1785 E1   0.42724   0.99646  127.203    67.688    92.639
C/1786 P1   0.410712  1.0      325.0517  197.4005   50.8921
C/1787 G1   0.34891   1.0       99.158   109.852   131.724
C/1788 W1   1.06301   1.0       57.844   159.926   167.512
C/1790 A1   0.75810   1.0      115.951   179.125   148.068
C/1790 H1   0.79796   1.0      119.480    36.118   116.147
C/1791 X1   1.29258   1.0      154.347   193.596   140.211
C/1793 A1   0.96581   1.0      147.167   286.160   131.003
C/1793 S1   1.504546  1.0       69.3361    5.1750   51.9362
C/1793 S2   0.40344   1.0      239.810   111.383   119.642
C/1796 F1   1.579636  1.0      184.2970   19.8977  115.1716
C/1797 P1   0.52545   1.0      279.683   332.094   129.427
C/1798 G1   0.48503   1.0      343.002   124.922    43.783
C/1798 X1   0.77479   1.0      215.878   252.280   137.746
C/1799 P1   0.83986   1.0       95.828   102.326   129.062
C/1799 Y1   0.62580   1.0      136.471   329.609   102.996
C/1801 N1   0.25641   1.0      219.840    45.313   159.267
C/1802 Q1   1.094249  1.0       21.8478  313.0142   57.0108
C/1804 E1   1.071168  1.0      331.9459  179.5344   56.4522
C/1806 V1   1.081927  1.0      225.2131  324.9868  144.9537
C/1807 R1   0.646124  0.995488   4.0970  269.4837   63.1762
C/1808 F1   0.38986   1.0      253.743   325.642   134.303
C/1808 M1   0.607953  1.0      131.5607   26.8770  140.7050
C/1810 Q1   0.969623  1.0      114.9175  311.5035   62.9454
C/1811 F1   1.035412  0.995125  65.4097  143.0497  106.9342
C/1811 W1   1.581701  0.980916 314.5022   95.6306   31.2554
C/1813 C1   0.699314  1.0      170.5629  243.1457  158.8486
C/1813 G1   1.214703  1.0      205.1622   45.2750   99.0577
C/1816 B1   0.04850   1.0      304.326   325.829    43.111
C/1817 Y1   1.197821  1.0      112.3619   72.9950   89.7518
C/1818 W2   0.855096  1.0      348.1071   92.5372  116.9058
C/1819 N1   0.341514  1.0       13.4158  276.2349   80.7517
D/1819 W1   0.892318  0.698752 350.2612   79.8122    9.1081
C/1821 B1   0.091823  1.0      169.2121   51.1843  106.4613
C/1822 J1   0.504429  1.0      344.6905  179.9345  126.3969
C/1822 K1   0.847130  1.0      237.7758  100.2415  143.6913
C/1822 N1   1.145099  0.996316 181.1055   95.2425  127.3429
C/1823 Y1   0.226742  1.0       28.4867  305.5054  103.8194
C/1824 N1   0.591671  1.0      334.0800  236.7952  125.4324
C/1824 O1   1.049835  1.0       85.2292  281.7415   54.5985
C/1825 K1   0.889011  0.996395 106.1910   22.5831  123.3414
C/1825 N1   1.240846  0.995431 256.9174  218.1296  146.4353
C/1825 P1   0.883471  1.0      177.2965  195.3795   89.6749
C/1825 V1   2.007734  1.0      279.3841  200.0590   39.9903
C/1826 P1   0.852878  0.997492  13.8101   46.4025   25.9496
C/1826 U1   0.026904  1.0      279.5835  237.5505   90.6234
C/1826 Y1   0.506166  1.0      151.0340  186.9924  102.3898
D/1827 M1   0.806508  0.945838  19.1895  320.0292  136.4601
C/1827 P1   0.137758  1.0      258.7039  152.1007  125.8788
C/1830 F1   0.921424  1.0        5.7962  208.7642   21.2570
C/1831 A1   0.125887  1.0       26.8884  340.2392  135.2630
C/1832 O1   1.183005  1.0      204.6342   74.8269  136.6727
C/1833 S1   0.458122  1.0      259.5795  325.5873    7.3488
C/1834 E1   0.513106  1.0       49.9876  229.0377    5.9759
C/1835 H1   2.040153  1.0      210.5630   60.7681  170.8846
C/1839 X1   0.618434  1.0       72.2671  122.1788   53.0716
C/1840 B1   1.220451  0.993250 156.6198  239.0658  120.7807
C/1840 E1   0.748504  1.0      138.0440  188.2715   79.8512
C/1840 U1   1.479951  0.965941 133.5127  251.2145   57.9043
C/1842 U1   0.504685  1.0      240.4937  210.0089  106.4213
C/1843 D1   0.005527  0.999914  82.6390    3.5272  144.3548
C/1843 J1   1.616305  1.0      124.2527  159.4411   52.7241
C/1844 N1   0.855401  0.999757 211.2748   33.8483  131.4092
C/1844 Y1   0.250537  0.999302 177.5055  120.5910   45.5651
C/1844 Y2   0.905204  1.0      114.5819  338.9135   46.8605
C/1845 D1   1.254549  1.0      205.4516  349.2811   56.4038
C/1845 L1   0.401077  1.0       75.7977  339.9729  131.0985
C/1846 B1   1.480703  0.992403 337.9898  113.2746   47.4257
C/1846 J1   0.633760  0.990414  99.7253  263.9889  150.6809
C/1846 O1   1.375992  1.0       78.7517  163.4642  122.3771
C/1846 S1   0.830669  1.0       93.9763    6.8369   49.7196
C/1847 C1   0.042593  0.999910 254.3565   23.8240   48.6636
C/1847 J1   2.115749  1.000723  32.3587  176.0849  100.4185
C/1847 N1   1.766058  0.998589  91.5248  340.4045   96.5817
C/1847 Q1   1.484824  1.0       55.4717   78.8836  147.3551
C/1847 T1   0.329025  1.000172 276.6090  192.9665  108.1326
C/1848 P1   0.319947  1.0      260.9477  213.6499   95.5938
C/1848 U1   0.959782  1.0      208.0066  217.3332   85.0400
C/1849 G1   0.894360  0.998427 236.5868   32.6350   66.9587
C/1849 G2   1.159406  1.000940  33.1621  204.6602   67.1526
C/1850 J1   1.081429  0.998599 180.5495   94.9833   68.1848
C/1850 Q1   0.565586  1.0      243.2029  208.1112   40.0621
C/1851 P1   0.984753  1.0       87.2603  225.7722   38.2035
C/1851 U1   0.142053  1.0      294.4471   46.4289   73.9862
C/1852 K1   0.905406  1.0       37.2061  319.2712  131.1243
C/1853 E1   1.092195  1.0      275.9051   71.6574  159.7566
C/1853 G1   0.908693  0.989286 199.2335   43.0218  122.1955
C/1853 L1   0.306834  1.000250 170.4413  142.5664   61.5008
C/1853 R1   0.172863  1.000664 277.8407  222.1161  118.9963
C/1853 W1   2.044645  1.0      170.9202  229.0785  113.8757
C/1854 F1   0.277064  1.0      101.6255  317.4960   97.4867
C/1854 L1   0.648092  1.0       74.5689  349.6985  108.7032
C/1854 R1   0.798762  0.993246 129.8988  326.5162   40.9201
C/1854 Y1   1.359463  0.991309 287.0725  240.2563   14.1520
C/1855 G1   2.193526  0.965185 323.0929  191.7463  128.5764
C/1855 L1   0.567564  0.985780  22.4883  262.2306  156.8707
C/1855 V1   1.230983  1.0      325.6152   53.6616  169.8240
C/1857 D1   0.772493  1.0      121.5663  315.1526   87.9479
C/1857 M1   0.367535  1.0      134.0658   25.6944  121.0332
C/1857 O1   0.746843  0.980414 180.9440  202.8313   32.7565
C/1857 Q1   0.562898  0.996913 124.8444   16.9550  123.9614
C/1857 V1   1.009088  1.0       95.1021  141.3074  142.1557
C/1858 K1   0.544261  1.0       98.8587  326.9503   99.9713
C/1858 L1   0.578469  0.996295 129.1144  167.3044  116.9512
C/1858 R1   1.427002  1.0      155.5411  161.7449  158.7051
C/1859 G1   0.201032  1.0      282.0049  359.3146   95.4894
C/1860 D1-A 1.198875  1.0      209.7599  326.0179   79.6819
C/1860 D1-B 1.198174  1.0      209.6880  326.0119   79.6193
C/1860 H1   1.306664  1.0       41.2172   10.8261   48.2360
C/1860 M1   0.292885  1.0       76.8841   86.6271   79.3233
C/1860 U1   0.682653  1.0      311.9767   46.7744   32.2097
C/1861 G1   0.920700  0.983465 213.4496   31.8674   79.7733
C/1861 J1   0.822384  0.985070 330.0841  280.9099   85.4424
C/1861 Y1   0.839027  1.0      331.5973  147.0373  138.0019
C/1862 N1   0.981328  1.0       27.1664  328.4371  172.1091
C/1862 W1   0.803238  1.0      230.5764  357.6952  137.5412
C/1862 X1   0.794764  1.000049  74.4657  118.8387   85.3553
C/1863 G1   1.068038  0.999159   3.9669  253.1661  112.6209
C/1863 G2   0.628781  0.999079  55.5925  252.0825   85.4961
C/1863 T1   1.313114  1.000665  78.1166  106.9346   83.3151
C/1863 V1   0.706413  0.998879 357.2129   99.3940   78.0817
C/1863 Y1   0.771492  1.0      115.6692  306.6287   64.4906
C/1864 N1   0.909290  0.996351 151.5802   97.6742  178.1269
C/1864 O1   0.931212  0.999358 232.4593   33.6662  109.7124
C/1864 R1   0.626106  1.0      346.0949  176.8808  134.9822
C/1864 X1   0.770731  1.0      118.4522  205.1126   48.8623
C/1864 Y1   1.114634  1.0      178.4993  342.7789  162.8931
C/1865 B1   0.025844  1.0      111.7175  254.8252   92.4945
C/1867 S1   0.330359  1.0      148.6408   66.8417   96.5735
C/1868 L1   0.578577  1.0      126.6431   54.1124  131.5581
C/1869 T1   1.230731  1.0      188.1940  313.3277  111.6853
