C/1913 Y1   1A   1.104   68.0  +0.000029  -0.000140  +0.000063
C/1914 F1   2A   1.199   23.9  +0.000126  -0.000088  +0.001561
C/1914 M1   1A   3.747   71.0  +0.000027  -0.000878  -0.000001
C/1914 S1   2B   0.713   77.8  +0.002239  +0.001872  +0.002782
C/1916 G1   1A   1.686   25.7  +0.000017  +0.000353  +0.000763
C/1919 Q2   2A   1.115   46.4  +0.000020  -0.000199  -0.000042
C/1920 X1   2B   1.148   22.0  +0.005023  +0.005157  +0.006896
C/1921 E1   1B   1.008  132.2  +0.000018  -0.000354  -0.000351
C/1922 U1   1A   2.259   51.5  +0.000021  -0.000334  -0.000523
C/1924 F1   2A   1.756   72.3  +0.001076  +0.000798  +0.000703
C/1925 F1   1A   4.181  146.7  +0.000035  -0.000582  +0.000128
C/1925 F2   1B   1.633   27.0  +0.003778  +0.002990  +0.004521
C/1925 G1   1A   1.109  100.0  +0.000040  -0.000545  -0.000533
C/1925 W1   1B   1.566   49.3  +0.000024  -0.000244  -0.000322
C/1926 B1   2B   1.345  128.3  +0.005808  +0.005660  +0.006326
C/1927 E1   1A   3.684   87.7  +0.000623  +0.000494  +0.001087
C/1927 X1   2A   0.176   85.1  +0.001674  +0.000909  +0.000907
C/1930 E1   1B   2.079   72.0  +0.000524  -0.000252  -0.000044
C/1930 F1   2A   0.482   67.1  +0.016959  +0.016202  +0.016217
C/1931 O1   1B   1.047   42.3  +0.021020  +0.019865  +0.020128
C/1931 P1   2A   0.075  169.3  +0.000300  +0.008998  +0.008806
C/1932 G1   2B   1.254   74.3  +0.023175  +0.022220  +0.022729
C/1932 M1   1B   1.647   78.4  -0.000056  -0.000365  -0.000327
C/1932 M2   1A   2.314  125.0  +0.000045  -0.000619  -0.000240
C/1932 P1   2B   1.037   71.7  +0.022945  +0.022784  +0.022774
C/1932 Y1   2B   1.131   24.5  +0.024562  +0.024420  +0.024661
C/1935 A1   2A   0.811   65.4  +0.010774  +0.010721  +0.011387
C/1935 Q1   1A   4.043   66.1  +0.000019  -0.000506  -0.000281
C/1936 K1   2A   1.100   78.5  +0.008294  +0.007478  +0.007923
C/1936 O1   2A   0.518  121.9  +0.011007  +0.010823  +0.011329
C/1937 C1   1B   1.734   41.6  +0.000062  -0.000079  +0.001400
C/1937 N1   2A   0.863  146.4  +0.000124  +0.000017  +0.000281
C/1937 P1   2B   1.954   11.6  +0.014623  +0.014077  +0.015721
C/1939 B1   2B   0.716   63.5  +0.007813  +0.006835  +0.006716
C/1939 V1   2B   0.945   93.0  +0.003327  +0.002971  +0.003576
C/1940 O1   2A   1.082   54.7  +0.018093  +0.017701  +0.019095
C/1940 R2   1B   0.368   49.9  +0.000001  -0.001319  -0.001570
