   2P               1842 Apr. 12.5200T 0.344933  0.844850  3.31  182.8118  336.8905   13.3613  42 Mar. 26    48*    1832       1845      9                                @MarSek     1974
   2P               1845 Aug. 10.1164T 0.338078  0.847444  3.30  183.3941  336.5094   13.1472  45 Aug. 17   113*    1845       1858      9                                @MarSek     1974
   2P               1848 Nov. 26.5805T 0.336956  0.847838  3.30  183.3956  336.5067   13.1641  48 Nov. 29   113*    1845       1858      9                                @MarSek     1974
   2P               1852 Mar. 15.2020T 0.337565  0.847586  3.30  183.4287  336.4884   13.1492  52 Mar. 13   113*    1845       1858      9                                @MarSek     1974
   2P               1855 July  1.5386T 0.337202  0.847719  3.30  183.4119  336.4921   13.1529  55 June 26   113*    1845       1858      9                                @MarSek     1974
   2P               1858 Oct. 18.8658T 0.340769  0.846410  3.30  183.4475  336.4761   13.0894  58 Oct.  8    64*    1858       1871      9                                @MarSek     1974
   2P               1862 Feb.  6.7469T 0.339950  0.846739  3.30  183.4705  336.4656   13.1005  62 Jan. 20    64*    1858       1871      9                                @MarSek     1974
   2P               1865 May  28.4221T 0.340970  0.846316  3.30  183.4907  336.4561   13.0810  65 June 13    64*    1858       1871      9                                @MarSek     1974
   2P               1868 Sept.15.1216T 0.333602  0.849163  3.29  183.6462  336.3879   13.1279  68 Sept.25    64*    1858       1871      9                                @MarSek     1974
   2P               1871 Dec. 29.3036T 0.332985  0.849412  3.29  183.6331  336.3907   13.1390  72 Jan.  8    64*    1858       1871      9                                @MarSek     1974
   2P               1875 Apr. 13.4901T 0.332964  0.849373  3.29  183.6486  336.3831   13.1372  75 Apr. 22    87*    1871       1885      9                                @MarSek     1974
   2P               1878 July 26.6677T 0.333513  0.849144  3.29  183.6437  336.3796   13.1253  78 Aug.  4    87*    1871       1885      9                                @MarSek     1974
   2P               1881 Nov. 15.8034T 0.343434  0.845347  3.31  183.9014  336.2470   12.8973  81 Nov. 16    87*    1871       1885      9                                @MarSek     1974
   2P               1885 Mar.  8.1371T 0.342372  0.845756  3.31  183.9047  336.2397   12.9147  85 Feb. 28    86*    1885       1895      9                                @MarSek     1974
   2P               1888 June 28.4699T 0.343093  0.845460  3.31  183.9290  336.2258   12.9000  88 June 12    86*    1885       1895      9                                @MarSek     1974
   2P               1891 Oct. 18.4254T 0.340450  0.846476  3.30  183.9441  336.2250   12.9294  91 Nov.  4    86*    1885       1895      9                                @MarSek     1974
   2P               1895 Feb.  5.2496T 0.341076  0.846242  3.30  183.9420  336.2230   12.9186  95 Feb. 16    86*    1891       1905      9                                @MarSek     1974
   2P               1898 May  27.3690T 0.340757  0.846377  3.30  183.9687  336.2102   12.9206  98 May  31    86*    1891       1905      9                                @MarSek     1974
   2P               1901 Sept.15.9651  0.341678  0.846014  3.31  183.9715  336.2015   12.9049  01 Sept.13    86*    1891       1905      9                                @MarSek     1974
   2P               1905 Jan. 12.3806  0.338883  0.847100  3.30  184.6204  335.7626   12.5857  04 Dec. 26    41*    1901       1911      9                                @MarSek     1974
   2P               1908 May   1.4098  0.337794  0.847523  3.30  184.6137  335.7634   12.6006  08 May  19    41*    1901       1911      9                                @MarSek     1974
   2P               1911 Aug. 19.5341  0.338420  0.847238  3.30  184.6426  335.7427   12.5863  11 Sept. 1    41*    1901       1911      9                                @MarSek     1974
   2P               1914 Dec.  5.4301  0.337858  0.847486  3.30  184.6319  335.7519   12.5934  14 Dec. 14    55*    1911       1924      9                                @MarSek     1974
   2P               1918 Mar. 24.8441  0.340795  0.846373  3.30  184.6602  335.7431   12.5419  18 Mar. 28    55*    1911       1924      9                                @MarSek     1974
   2P               1921 July 13.5895  0.340005  0.846662  3.30  184.6855  335.7286   12.5517  21 July 10    55*    1911       1924      9                                @MarSek     1974
   2P               1924 Oct. 31.9355  0.341067  0.846255  3.30  184.7009  335.7135   12.5322  24 Oct. 22    55*    1911       1924      9                                @MarSek     1974
   2P               1928 Feb. 19.8372  0.332629  0.849505  3.29  184.9058  335.6115   12.5581  28 Feb.  4    87*    1924       1937      9                                @MarSek     1974
   2P               1931 June  3.1131  0.331868  0.849788  3.28  184.8891  335.6189   12.5713  31 May  19    87*    1924       1937      9                                @MarSek     1974
   2P               1934 Sept.15.2835  0.331865  0.849813  3.28  184.9228  335.6024   12.5678  34 Aug. 31    87*    1924       1937      9                                @MarSek     1974
   2P               1937 Dec. 27.7540  0.332410  0.849603  3.29  184.9293  335.5866   12.5546  37 Dec. 13    48*    1937       1951      9                                @MarSek     1974
   2P               1941 Apr. 17.1460  0.341381  0.846164  3.31  185.1528  335.4681   12.3558  41 May   6    48*    1937       1951      9                                @MarSek     1974
   2P               1947 Nov. 26.3273  0.341028  0.846292  3.30  185.1818  335.4490   12.3565  47 Dec.  1    48*    1937       1951      9                                @MarSek     1974
