   .675D+00     .0066  132.2104    3.4448   76.5798
   .680D+00     .0066  132.0478    3.4311   76.5896
   .685D+00     .0067  131.9118    3.4201   76.5975
   .690D+00     .0067  131.8011    3.4115   76.6037
   .695D+00     .0067  131.7145    3.4051   76.6084
   .700D+00     .0067  131.6501    3.4005   76.6117
   .745D+00     .0067  131.4494    3.3885   76.6192
   .750D+00     .0067  131.3450    3.3831   76.6218
   .755D+00     .0067  131.1852    3.3747   76.6254
   .760D+00     .0067  130.9553    3.3629   76.6300
   .765D+00     .0067  130.6400    3.3466   76.6358
   .770D+00     .0068  130.2236    3.3251   76.6425
   .775D+00     .0068  129.6911    3.2973   76.6501
   .780D+00     .0068  129.0295    3.2623   76.6583
   .785D+00     .0069  128.2291    3.2190   76.6668
   .790D+00     .0070  127.2852    3.1664   76.6752
   .795D+00     .0071  126.1996    3.1035   76.6833
   .800D+00     .0073  124.9824    3.0293   76.6905
   .805D+00     .0075  123.6516    2.9432   76.6964
   .810D+00     .0077  122.2334    2.8448   76.7005
   .815D+00     .0080  120.7597    2.7338   76.7026
   .820D+00     .0083  119.2654    2.6106   76.7022
   .825D+00     .0087  117.7852    2.4759   76.6991
   .830D+00     .0091  116.3503    2.3309   76.6930
   .835D+00     .0095  114.9855    2.1774   76.6837
   .840D+00     .0100  113.7082    2.0173   76.6709
   .845D+00     .0105  112.5287    1.8531   76.6541
   .850D+00     .0110  111.4503    1.6875   76.6328
   .855D+00     .0115  110.4714    1.5231   76.6063
   .860D+00     .0120  109.5868    1.3625   76.5741
   .865D+00     .0125  108.7894    1.2079   76.5352
   .870D+00     .0130  108.0714    1.0614   76.4890
   .875D+00     .0134  107.4249     .9244   76.4348
   .880D+00     .0139  106.8427     .7980   76.3720
   .885D+00     .0142  106.3183     .6829   76.3004
   .890D+00     .0146  105.8462     .5793   76.2199
   .895D+00     .0149  105.4216     .4871   76.1306
   .900D+00     .0151  105.0406     .4059   76.0329
   .905D+00     .0154  104.6995     .3351   75.9271
   .910D+00     .0156  104.3955     .2740   75.8141
   .915D+00     .0158  104.1257     .2217   75.6946
   .920D+00     .0159  103.8876     .1774   75.5693
   .925D+00     .0160  103.6790     .1403   75.4393
   .930D+00     .0161  103.4976     .1094   75.3054
   .935D+00     .0162  103.3414     .0840   75.1685
   .940D+00     .0163  103.2082     .0634   75.0296
   .945D+00     .0164  103.0962     .0469   74.8896
   .950D+00     .0165  103.0032     .0338   74.7493
   .955D+00     .0165  102.9275     .0237   74.6097
   .960D+00     .0166  102.8672     .0160   74.4715
   .965D+00     .0166  102.8204     .0103   74.3355
   .970D+00     .0166  102.7853     .0062   74.2025
   .975D+00     .0166  102.7603     .0035   74.0733
   .980D+00     .0167  102.7435     .0017   73.9486
   .103D+01     .0167  102.6908     .0025  253.1400
   .103D+01     .0166  102.6650     .0043  253.0975
   .103D+01     .0166  102.6289     .0066  253.0669
   .104D+01     .0166  102.5805     .0096  253.0489
   .104D+01     .0166  102.5181     .0134  253.0442
   .105D+01     .0166  102.4397     .0179  253.0536
   .105D+01     .0165  102.3434     .0233  253.0778
   .106D+01     .0165  102.2271     .0297  253.1176
   .106D+01     .0165  102.0886     .0370  253.1737
   .107D+01     .0164  101.9258     .0453  253.2469
   .107D+01     .0164  101.7363     .0548  253.3381
   .108D+01     .0164  101.5177     .0653  253.4481
   .108D+01     .0163  101.2672     .0771  253.5780
   .109D+01     .0163  100.9822     .0901  253.7286
   .109D+01     .0162  100.6595     .1045  253.9010
   .110D+01     .0162  100.2958     .1203  254.0964
   .110D+01     .0162   99.8875     .1375  254.3160
   .111D+01     .0161   99.4305     .1563  254.5612
   .111D+01     .0160   98.9203     .1767  254.8337
   .112D+01     .0160   98.3520     .1988  255.1352
   .112D+01     .0159   97.7197     .2228  255.4680
   .113D+01     .0158   97.0170     .2488  255.8344
   .114D+01     .0157   96.2362     .2769  256.2378
   .114D+01     .0156   95.3689     .3072  256.6819
   .115D+01     .0155   94.4046     .3400  257.1716
